As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Total Staffed Acute Care Beds,Total Staffed Acute Care Beds Occupied,Total Staffed Acute Care Beds Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Occupied,Total Staffed ICU Beds Currently Available
11/03/2025,000671,GENEVA GENERAL HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,FINGER LAKES HEALTH,FINGER LAKES,43,48,-5,6,6,0
11/03/2025,000490,GLEN COVE HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,186,111,75,15,5,10
11/03/2025,001005,GLENS FALLS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,WARREN,INDEPENDENT,CAPITAL REGION,202,138,64,16,10,6
11/03/2025,000925,GOOD SAMARITAN MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,357,296,61,51,45,6
11/03/2025,000779,GOOD SAMARITAN SUFFERN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,WMC HEALTH,MID-HUDSON,285,180,105,50,43,7
11/03/2025,000812,GOUVERNEUR HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,25,9,16,0,0,0
11/03/2025,000158,GUTHRIE CORTLAND MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,CORTLAND,THE GUTHRIE CLINIC,CENTRAL NEW YORK,75,50,25,8,4,4
11/03/2025,001445,HARLEM HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,208,174,34,0,0,0
11/03/2025,000989,HEALTHALLIANCE MARY'S AVE,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,WMC HEALTH,MID-HUDSON,318,70,248,86,8,78
11/03/2025,000775,HELEN HAYES HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,INDEPENDENT,MID-HUDSON,72,35,37,0,0,0
11/03/2025,001486,HENRY J. CARTER SPECIALTY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,201,132,69,0,0,0
11/03/2025,000409,HIGHLAND HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,322,295,27,14,14,0
11/03/2025,001447,HOSPITAL FOR SPECIAL SURGERY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,INDEPENDENT,NEW YORK CITY,128,111,17,4,2,2
11/03/2025,000913,HUNTINGTON HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,327,249,78,34,21,13
11/03/2025,001309,INTERFAITH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,ONE BROOKLYN HEALTH,NEW YORK CITY,161,131,30,25,23,2
11/03/2025,000873,IRA DAVENPORT MEMORIAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,ARNOT HEALTH,SOUTHERN TIER,0,0,0,0,0,0
11/03/2025,001165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,369,299,70,44,37,7
11/03/2025,001629,JAMAICA HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,330,294,36,26,26,0
11/03/2025,000039,JONES MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,UNIVERSITY OF ROCHESTER,WESTERN NEW YORK,26,14,12,4,3,1
11/03/2025,000267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,170,140,30,14,7,7
11/03/2025,001301,KINGS COUNTY HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,454,410,44,40,24,16
11/03/2025,000012,LAKEVIEW MENTAL HEALTH & WELLNESS,CENTRAL NEW YORK REGIONAL OFFICE,OSWEGO,OSWEGO HEALTH,CENTRAL NEW YORK,22,12,10,0,0,0
11/03/2025,009700,LENOX HEALTH GREENWICH VILLAGE,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,8,4,4,0,0,0
11/03/2025,001450,LENOX HILL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,443,277,166,48,42,6
11/03/2025,000383,LEWIS COUNTY GENERAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,LEWIS,INDEPENDENT,NORTH COUNTRY,33,20,13,5,4,1
11/03/2025,001172,LINCOLN MEDICAL & MENTAL HEALTH (1172),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,346,265,81,34,23,11
11/03/2025,000362,LITTLE FALLS HOSPITAL (0362),CENTRAL NEW YORK REGIONAL OFFICE,HERKIMER,BASSETT HEALTHCARE,MOHAWK VALLEY,26,22,4,0,0,0
11/03/2025,015464,LOCKPORT MEMORIAL HOSPITAL (15464),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,10,23,-13,0,0,0
11/03/2025,001630,LONG ISLAND JEWISH MC (1630),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,595,562,33,54,49,5
11/03/2025,001638,LONG ISLAND JEWISH: FOREST HILLS (1638),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NORTHWELL HEALTH,NEW YORK CITY,252,175,77,18,16,2
11/03/2025,000518,LONG ISLAND JEWISH: VALLEY STREAM (0518),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,215,109,106,16,10,6
11/03/2025,001293,MAIMONIDES MIDWOOD COMMUNITY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MAIMONIDES HEALTH,NEW YORK CITY,120,112,8,5,7,-2
11/03/2025,000170,MARGARETVILLE HOSPITAL (0170),CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,WMC HEALTH,SOUTHERN TIER,24,2,22,0,0,0
11/03/2025,000746,MARY IMOGENE BASSETT HOSPITAL (0746),CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,224,152,72,14,13,1
11/03/2025,000804,MASSENA HOSPITAL (0804),CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,32,20,12,0,0,0
11/03/2025,000895,MATHER HOSPITAL: PORT JEFFERSON (0895),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,346,208,138,20,13,7
11/03/2025,000718,MEDINA MEMORIAL HOSPITAL (0718),WESTERN REGIONAL OFFICE - BUFFALO,ORLEANS,INDEPENDENT,FINGER LAKES,25,12,13,0,0,0
11/03/2025,001453,MEMORIAL HOSPITAL FOR CANCER (1453),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,453,432,21,20,20,0
11/03/2025,000213,MERCY HOSPITAL: BUFFALO (0213),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,358,298,60,35,29,6
11/03/2025,001723,MERCY HOSPITAL: ORCHARD PARK DIV. (1723),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,15,11,4,0,0,0
11/03/2025,000513,MERCY MC (0513),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,"CATHOLIC HEALTH, LI",LONG ISLAND,245,172,73,13,7,6
11/03/2025,001454,METROPOLITAN HOSPITAL CENTER (1454),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,216,179,37,8,3,5
11/03/2025,000180,MID-HUDSON VALLEY HOSPITAL (0180),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,DUTCHESS,WMC HEALTH,MID-HUDSON,209,150,59,14,11,3
11/03/2025,003067,MILLARD FILLMORE HOSPITAL (3067),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,268,218,50,20,14,6
11/03/2025,001169,MONTEFIORE MC: HENRY & LUCY MOSES (1169),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,660,581,79,80,49,31
11/03/2025,001168,MONTEFIORE MC: WAKEFIELD HOSPITAL (1168),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,276,207,69,16,15,1
11/03/2025,003058,MONTEFIORE MC: WEILER HOSPITAL (3058),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,387,322,65,32,27,5
11/03/2025,001185,MONTEFIORE MC: WESTCHESTER SQUARE (1185),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,0,0,0,0,0,0
11/03/2025,001061,MONTEFIORE: MOUNT VERNON HOSPITAL (1061),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,69,45,24,2,0,2
11/03/2025,001072,MONTEFIORE: NEW ROCHELLE HOSPITAL (1072),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,156,58,98,12,8,4
11/03/2025,000776,MONTEFIORE: NYACK (0776),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,268,170,98,17,11,6
11/03/2025,015437,MOUNT SINAI BEHAVIORAL HEALTH CENTER (15437),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,,,36,,,0
11/03/2025,001456,MOUNT SINAI HOSPITAL (1456),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,809,712,97,94,73,21
11/03/2025,001639,MOUNT SINAI HOSPITAL OF QUEENS (1639),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,167,121,46,8,6,2
11/03/2025,001324,MOUNT SINAI: BROOKLYN (1324),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,194,185,9,17,12,5
11/03/2025,001469,MOUNT SINAI: MORNINGSIDE (1469),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,350,293,57,49,28,21
11/03/2025,001460,MOUNT SINAI: NY EYE & EAR (1460),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,20,2,18,0,0,0
11/03/2025,000527,MOUNT SINAI: SOUTH NASSAU (0527),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,MOUNT SINAI HEALTH SYSTEM,LONG ISLAND,326,273,53,20,11,9
11/03/2025,001466,MOUNT SINAI: WEST (1466),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MOUNT SINAI HEALTH SYSTEM,NEW YORK CITY,401,329,72,33,28,5
11/03/2025,000583,MOUNT ST. MARY'S HOSPITAL (0583),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,129,87,42,8,4,4
11/03/2025,000528,NASSAU UNIVERSITY MC (0528),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,INDEPENDENT,LONG ISLAND,459,284,175,63,43,20
11/03/2025,000330,NATHAN LITTAUER HOSPITAL (0330),CAPITAL DISTRICT REGIONAL OFFICE,FULTON,INDEPENDENT,MOHAWK VALLEY,28,24,4,12,10,2
11/03/2025,001028,NEWARK-WAYNE COMMUNITY HOSPITAL (1028),WESTERN REGIONAL OFFICE - ROCHESTER,WAYNE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,72,51,21,9,6,3
11/03/2025,000574,NIAGARA FALLS MEMORIAL MC (0574),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,INDEPENDENT,WESTERN NEW YORK,175,76,99,12,6,6
11/03/2025,000393,NICHOLAS H. NOYES MEMORIAL (0393),WESTERN REGIONAL OFFICE - ROCHESTER,LIVINGSTON,UNIVERSITY OF ROCHESTER,FINGER LAKES,45,31,14,7,2,5
11/03/2025,001186,NORTH CENTRAL BRONX HOSPITAL (1186),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,187,131,56,44,27,17
11/03/2025,000541,NORTH SHORE UNIVERSITY HOSPITAL (0541),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,810,679,131,93,73,20
11/03/2025,000192,NORTHERN DUTCHESS HOSPITAL (0192),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,DUTCHESS,NUVANCE HEALTH,MID-HUDSON,115,73,42,9,6,3
11/03/2025,001117,NORTHERN WESTCHESTER HOSPITAL (1117),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,NORTHWELL HEALTH,MID-HUDSON,189,95,94,10,3,7
11/03/2025,003975,NYP: ALLEN HOSPITAL (3975),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NEW YORK - PRESBYTERIAN,NEW YORK CITY,182,152,30,9,8,1
11/03/2025,001306,NYP: BROOKLYN METHODIST (1306),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NEW YORK - PRESBYTERIAN,NEW YORK CITY,495,428,67,33,24,9
11/03/2025,001464,NYP: COLUMBIA CENTER (1464),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NEW YORK - PRESBYTERIAN,NEW YORK CITY,734,649,85,106,99,6
11/03/2025,001039,NYP: HUDSON VALLEY (1039),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,NEW YORK - PRESBYTERIAN,MID-HUDSON,123,107,16,10,8,2
11/03/2025,010139,NYP: KOCH CENTER (10139),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NEW YORK - PRESBYTERIAN,NEW YORK CITY,178,72,106,0,0,0
11/03/2025,001437,NYP: LOWER MANHATTAN (1437),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NEW YORK - PRESBYTERIAN,NEW YORK CITY,140,110,30,18,13,5
11/03/2025,001637,NYP: QUEENS (1637),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NEW YORK - PRESBYTERIAN,NEW YORK CITY,496,400,96,64,44,20
11/03/2025,001458,NYP: WEILL CORNELL MC (1458),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NEW YORK - PRESBYTERIAN,NEW YORK CITY,613,555,58,110,85,25
11/03/2025,001122,NYP: WESTCHESTER (1122),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,NEW YORK - PRESBYTERIAN,MID-HUDSON,178,150,28,20,13,7
11/03/2025,001047,NYP: WESTCHESTER BHC (1047),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,NEW YORK - PRESBYTERIAN,MID-HUDSON,166,160,6,0,0,0
11/03/2025,000885,NYU LANGONE - SUFFOLK,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NYU LANGONE,LONG ISLAND,213,175,38,24,16,8
11/03/2025,001304,NYU LANGONE: BROOKLYN (1304),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYU LANGONE,NEW YORK CITY,386,322,64,33,31,2
11/03/2025,009753,NYU LANGONE: COBBLE HILL (9753),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYU LANGONE,NEW YORK CITY,0,0,0,0,0,0
11/03/2025,000511,NYU LANGONE: LONG ISLAND (0511),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NYU LANGONE,LONG ISLAND,486,372,114,55,49,6
11/03/2025,001446,NYU LANGONE: ORTHOPEDIC HOSPITAL (1446),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYU LANGONE,NEW YORK CITY,28,16,12,0,0,0
11/03/2025,001463,NYU LANGONE: TISCH (1463),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYU LANGONE,NEW YORK CITY,613,519,94,125,111,14
11/03/2025,000165,O'CONNOR HOSPITAL (0165),CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,BASSETT HEALTHCARE,SOUTHERN TIER,14,10,4,0,0,0
11/03/2025,000208,OISHEI CHILDREN'S HOSP. (0208),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,34,11,23,0,0,0
11/03/2025,000066,OLEAN GENERAL HOSPITAL (0066),WESTERN REGIONAL OFFICE - BUFFALO,CATTARAUGUS,KALEIDA HEALTH,WESTERN NEW YORK,123,90,33,8,7,1
11/03/2025,000397,ONEIDA HEALTH HOSPITAL (0397),CENTRAL NEW YORK REGIONAL OFFICE,MADISON,INDEPENDENT,CENTRAL NEW YORK,37,24,13,6,4,2
11/03/2025,000727,OSWEGO HOSPITAL (0727),CENTRAL NEW YORK REGIONAL OFFICE,OSWEGO,INDEPENDENT,CENTRAL NEW YORK,68,48,20,8,4,4
11/03/2025,000043,OUR LADY OF LOURDES MEMORIAL (0043),CENTRAL NEW YORK REGIONAL OFFICE,BROOME,THE GUTHRIE CLINIC,SOUTHERN TIER,193,107,86,10,4,6
11/03/2025,000938,PECONIC BAY MC (0938),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,196,122,74,20,15,5
11/03/2025,001129,PHELPS HOSPITAL (1129),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,NORTHWELL HEALTH,MID-HUDSON,163,122,41,12,9,3
11/03/2025,000552,PLAINVIEW HOSPITAL (0552),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,210,119,91,21,9,12
11/03/2025,000752,PUTNAM HOSPITAL (0752),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,PUTNAM,NUVANCE HEALTH,MID-HUDSON,147,46,101,10,3,7
11/03/2025,001633,QUEENS HOSPITAL CENTER (1633),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NYC H+H,NEW YORK CITY,244,218,26,16,12,4
11/03/2025,001738,RICHMOND UNIVERSITY MC (1738),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,RICHMOND,INDEPENDENT,NEW YORK CITY,310,173,137,33,21,12
11/03/2025,000377,RIVER HOSPITAL (0377),CENTRAL NEW YORK REGIONAL OFFICE,JEFFERSON,INDEPENDENT,NORTH COUNTRY,13,3,10,0,0,0
11/03/2025,000411,ROCHESTER GENERAL HOSPITAL (0411),WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,ROCHESTER REGIONAL HEALTH,FINGER LAKES,538,457,81,48,42,6
11/03/2025,000589,ROME MEMORIAL HOSPITAL (0589),CENTRAL NEW YORK REGIONAL OFFICE,ONEIDA,ST. JOSEPH'S HOSPITAL,MOHAWK VALLEY,104,51,53,10,7,3
11/03/2025,000216,ROSWELL PARK CANCER INSTITUTE (0216),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,153,122,31,14,7,7
11/03/2025,000756,SAMARITAN HOSPITAL (0756),CAPITAL DISTRICT REGIONAL OFFICE,RENSSELAER,ST. PETER'S HEALTH,CAPITAL REGION,171,75,96,30,8,22
11/03/2025,000367,SAMARITAN MC (0367),CENTRAL NEW YORK REGIONAL OFFICE,JEFFERSON,INDEPENDENT,NORTH COUNTRY,162,107,55,10,4,6
11/03/2025,000004,SAMARITAN: ALBANY MEMORIAL (0004),CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ST. PETER'S HEALTH,CAPITAL REGION,0,0,0,0,0,0
11/03/2025,000755,SAMARITAN: ST. MARY'S HOSPITAL (0755),CAPITAL DISTRICT REGIONAL OFFICE,RENSSELAER,ST. PETER'S HEALTH,CAPITAL REGION,19,11,8,0,0,0
11/03/2025,000818,SARATOGA HOSPITAL (0818),CAPITAL DISTRICT REGIONAL OFFICE,SARATOGA,ALBANY MEDICAL CENTER,CAPITAL REGION,175,133,42,19,15,4
11/03/2025,001176,SBH HEALTH SYSTEM (1176),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,SBH HEALTH,NEW YORK CITY,310,251,59,16,15,1
11/03/2025,000858,SCHUYLER HOSPITAL (0858),WESTERN REGIONAL OFFICE - ROCHESTER,SCHUYLER,CAYUGA HEALTH,SOUTHERN TIER,8,2,6,0,0,0
11/03/2025,000218,SISTERS OF CHARITY HOSPITAL (0218),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,187,135,52,16,5,11
11/03/2025,000292,SISTERS OF CHARITY: ST. JOSEPH (0292),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,83,50,33,0,0,0
11/03/2025,001124,SJRH: DOBBS FERRY PAVILION (1124),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,ST. JOHN'S RIVERSIDE,MID-HUDSON,20,6,14,0,0,0
11/03/2025,001099,SJRH: PARK CARE PAVILION (1099),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,RIVERSIDE HEALTH CARE,MID-HUDSON,148,95,53,0,0,0
11/03/2025,001097,SJRH: ST. JOHN'S DIVISION (1097),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,RIVERSIDE HEALTH CARE,MID-HUDSON,199,83,116,12,6,6
11/03/2025,001158,SOLDIERS AND SAILORS MEM HOSPITAL (1158),WESTERN REGIONAL OFFICE - ROCHESTER,YATES,FINGER LAKES HEALTH,FINGER LAKES,14,15,-1,0,0,0
11/03/2025,009691,SOUTH NASSAU COMMUNITY: FSED (9691),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,MOUNT SINAI HEALTH SYSTEM,LONG ISLAND,0,0,0,0,0,0
11/03/2025,000924,SOUTH SHORE UNIVERSITY HOSPITAL (0924),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,363,309,54,44,37,7
11/03/2025,000704,ST. ANTHONY COMMUNITY HOSPITAL (0704),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,WMC HEALTH,MID-HUDSON,65,24,41,14,4,10
11/03/2025,000943,ST. CATHERINE OF SIENA HOSPITAL (0943),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,219,159,60,23,16,7
11/03/2025,000896,ST. CHARLES HOSPITAL (0896),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,225,139,86,16,4,12
11/03/2025,000563,ST. FRANCIS HOSPITAL (0563),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,"CATHOLIC HEALTH, LI",LONG ISLAND,296,245,51,59,45,14
11/03/2025,000870,ST. JAMES HOSPITAL (0870),WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,UNIVERSITY OF ROCHESTER,SOUTHERN TIER,13,12,1,0,0,0
11/03/2025,001635,ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,INDEPENDENT,NEW YORK CITY,214,140,74,15,10,5
11/03/2025,000551,ST. JOSEPH HOSPITAL (0551),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,"CATHOLIC HEALTH, LI",LONG ISLAND,113,89,24,12,9,3
11/03/2025,000118,ST. JOSEPH'S HOSPITAL (0118),WESTERN REGIONAL OFFICE - ROCHESTER,CHEMUNG,ARNOT HEALTH,SOUTHERN TIER,46,25,21,0,0,0
11/03/2025,000630,ST. JOSEPH'S HOSPITAL HEALTH CTR. (0630),CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,TRINITY HEALTH,CENTRAL NEW YORK,575,268,307,44,30,14
11/03/2025,001098,ST. JOSEPH'S MC (1098),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,ST. JOSEPH'S MC,MID-HUDSON,97,87,10,6,4,2
11/03/2025,001133,ST. JOSEPH'S MC: ST. VINCENT'S (1133),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,ST. JOSEPH'S MC,MID-HUDSON,126,92,34,0,0,0
11/03/2025,000694,ST. LUKE'S CORNWALL: NEWBURGH (0694),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,189,129,60,18,10,8
11/03/2025,000484,ST. MARY'S HEALTHCARE (0484),CAPITAL DISTRICT REGIONAL OFFICE,MONTGOMERY,ST. MARY'S HEALTHCARE,MOHAWK VALLEY,177,59,118,7,1,6
11/03/2025,000482,ST. MARY'S: AMSTERDAM MEMORIAL (0482),CAPITAL DISTRICT REGIONAL OFFICE,MONTGOMERY,ST. MARY'S HEALTHCARE,MOHAWK VALLEY,37,21,16,0,0,0
11/03/2025,009431,ST. PETER'S ADDICTION RECOVERY (9431),CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ST. PETER'S HEALTH,CAPITAL REGION,40,12,28,0,0,0
11/03/2025,000005,ST. PETER'S HOSPITAL (0005),CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ST. PETER'S HEALTH,CAPITAL REGION,386,245,141,44,14,30
