As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Total Staffed Acute Care Beds,Total Staffed Acute Care Beds Occupied,Total Staffed Acute Care Beds Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Occupied,Total Staffed ICU Beds Currently Available
10/12/2025,000895,MATHER HOSPITAL: PORT JEFFERSON (0895),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,348,157,191,20,6,14
10/12/2025,000718,MEDINA MEMORIAL HOSPITAL (0718),WESTERN REGIONAL OFFICE - BUFFALO,ORLEANS,INDEPENDENT,FINGER LAKES,25,16,9,0,0,0
10/12/2025,001453,MEMORIAL HOSPITAL FOR CANCER (1453),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,451,429,22,18,19,-1
10/12/2025,000213,MERCY HOSPITAL: BUFFALO (0213),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,358,245,113,35,29,6
10/12/2025,001723,MERCY HOSPITAL: ORCHARD PARK DIV. (1723),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,15,7,8,0,0,0
10/12/2025,000513,MERCY MC (0513),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,"CATHOLIC HEALTH, LI",LONG ISLAND,242,179,63,13,10,3
10/12/2025,001454,METROPOLITAN HOSPITAL CENTER (1454),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,215,174,41,8,0,8
10/12/2025,000180,MID-HUDSON VALLEY HOSPITAL (0180),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,DUTCHESS,WMC HEALTH,MID-HUDSON,217,162,55,14,9,5
10/12/2025,003067,MILLARD FILLMORE HOSPITAL (3067),WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,268,224,44,20,16,4
10/12/2025,001169,MONTEFIORE MC: HENRY & LUCY MOSES (1169),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,660,558,102,80,46,34
10/12/2025,001168,MONTEFIORE MC: WAKEFIELD HOSPITAL (1168),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,276,222,54,16,14,2
10/12/2025,003058,MONTEFIORE MC: WEILER HOSPITAL (3058),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,387,327,60,32,30,2
10/12/2025,001185,MONTEFIORE MC: WESTCHESTER SQUARE (1185),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,MONTEFIORE HEALTH SYSTEM,NEW YORK CITY,0,0,0,0,0,0
10/12/2025,001061,MONTEFIORE: MOUNT VERNON HOSPITAL (1061),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,69,41,28,3,1,2
